symboling,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,manufacturer,model,compressionratio_bin,price_per_hp,power_to_weight_ratio,engine_efficiency,avg_mpg,price_per_mpg
1,petrol,std,four,sedan,fwd,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,dodge,colt hardtop,Standard,98.41176470588235,0.03418803418803419,0.7555555555555555,34.5,193.97101449275362
1,petrol,std,four,sedan,fwd,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,dodge,colt (sw),Standard,111.8970588235294,0.03418803418803419,0.7555555555555555,34.5,220.55072463768116
1,petrol,turbo,two,sedan,fwd,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558.0,dodge,coronet custom,Low,83.90196078431373,0.04655408489274304,1.0408163265306123,27.0,316.962962962963
-1,petrol,std,four,wagon,fwd,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921.0,dodge,dart custom,Low,101.375,0.03471400394477318,0.7213114754098361,27.0,330.4074074074074
3,petrol,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000,19,24,12964.0,dodge,coronet custom (sw),,89.40689655172413,0.05158306652436855,0.9294871794871795,21.5,602.9767441860465
2,petrol,std,two,hatchback,fwd,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479.0,honda,civic,Standard,111.70689655172414,0.033858727378867484,0.6304347826086957,51.5,125.80582524271844
2,petrol,std,two,hatchback,fwd,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855.0,honda,civic cvcc,Standard,90.19736842105263,0.04178119846069269,0.8260869565217391,34.5,198.69565217391303
1,petrol,std,two,hatchback,fwd,93.7,150.0,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399.0,honda,civic,Standard,89.98333333333333,0.0326619488296135,0.759493670886076,40.0,134.975
1,petrol,std,two,hatchback,fwd,93.7,150.0,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529.0,honda,accord cvcc,Standard,85.90789473684211,0.03917525773195876,0.8260869565217391,32.0,204.03125
1,petrol,std,two,hatchback,fwd,93.7,150.0,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129.0,honda,civic cvcc,Standard,93.80263157894737,0.03885480572597137,0.8260869565217391,32.0,222.78125
0,petrol,std,four,sedan,fwd,96.5,163.4,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295.0,honda,accord lx,Standard,95.98684210526316,0.03781094527363184,0.8260869565217391,32.0,227.96875
0,petrol,std,four,wagon,fwd,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295.0,honda,civic 1500 gl,Standard,95.98684210526316,0.037549407114624504,0.8260869565217391,32.0,227.96875
0,petrol,std,two,hatchback,fwd,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0,honda,accord,Low,91.80232558139535,0.038461538461538464,0.7818181818181819,30.0,263.1666666666667
0,petrol,std,two,hatchback,fwd,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095.0,honda,civic 1300,Low,105.75581395348837,0.037570991699432066,0.7818181818181819,30.0,303.1666666666667
0,petrol,std,four,sedan,fwd,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845.0,honda,prelude,Low,102.84883720930233,0.03732638888888889,0.7818181818181819,30.0,294.8333333333333
0,petrol,std,four,sedan,fwd,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295.0,honda,accord,Low,119.70930232558139,0.03625632377740304,0.7818181818181819,30.0,343.1666666666667
0,petrol,std,four,sedan,fwd,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0,honda,civic,Low,128.16831683168317,0.040973630831643,0.9181818181818182,26.0,497.88461538461536
1,petrol,std,two,sedan,fwd,96.5,169.1,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345.0,honda,civic (auto),Standard,103.45,0.043610989969472304,0.9090909090909091,28.0,369.4642857142857
0,petrol,std,four,sedan,rwd,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785.0,isuzu,MU-X,Low,86.98717948717949,0.03337612323491656,0.7027027027027027,26.5,256.0377358490566
1,petrol,std,two,sedan,fwd,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,isuzu,D-Max ,Standard,127.37857142857143,0.03735325506937033,0.7777777777777778,40.5,220.1604938271605
0,petrol,std,four,sedan,fwd,94.5,155.9,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,isuzu,D-Max V-Cross,Standard,127.37857142857143,0.03666841278156103,0.7777777777777778,40.5,220.1604938271605
2,petrol,std,two,hatchback,rwd,96.0,172.6,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048.0,isuzu,D-Max ,Standard,122.75555555555556,0.03291880029261156,0.7563025210084033,26.5,416.9056603773585
0,petrol,std,four,sedan,rwd,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0,jaguar,xj,Low,183.23863636363637,0.04328578455484506,0.6821705426356589,17.0,1897.0588235294117
0,petrol,std,four,sedan,rwd,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550.0,jaguar,xf,Low,201.98863636363637,0.04328578455484506,0.6821705426356589,17.0,2091.176470588235
0,petrol,std,two,sedan,rwd,102.0,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000.0,jaguar,xk,Standard,137.40458015267177,0.06632911392405064,0.803680981595092,15.0,2400.0
1,petrol,std,two,hatchback,fwd,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195.0,mazda,rx3,Low,76.3970588235294,0.03597883597883598,0.7472527472527473,30.5,170.327868852459
1,petrol,std,two,hatchback,fwd,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095.0,mazda,glc deluxe,Low,89.63235294117646,0.035789473684210524,0.7472527472527473,34.5,176.66666666666666
1,petrol,std,two,hatchback,fwd,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795.0,mazda,rx2 coupe,Low,99.92647058823529,0.03569553805774278,0.7472527472527473,34.5,196.95652173913044
1,petrol,std,four,sedan,fwd,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695.0,mazda,rx-4,Low,98.45588235294117,0.03496143958868895,0.7472527472527473,34.5,194.05797101449275
1,petrol,std,four,sedan,fwd,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395.0,mazda,glc deluxe,Low,108.75,0.03487179487179487,0.7472527472527473,34.5,214.34782608695653
3,petrol,std,two,hatchback,rwd,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,10945.0,mazda,626,Standard,108.36633663366337,0.04243697478991597,1.4428571428571428,20.0,547.25
3,petrol,std,two,hatchback,rwd,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845.0,mazda,glc,Standard,117.27722772277228,0.04243697478991597,1.4428571428571428,20.0,592.25
3,petrol,std,two,hatchback,rwd,95.3,169.0,65.7,49.6,2385,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,13645.0,mazda,rx-7 gs,Standard,135.0990099009901,0.042348008385744235,1.4428571428571428,20.0,682.25
3,petrol,std,two,hatchback,rwd,95.3,169.0,65.7,49.6,2500,rotor,two,80,mpfi,3.33,3.255,9.4,135,6000,16,23,15645.0,mazda,glc 4,Standard,115.88888888888889,0.054,1.6875,19.5,802.3076923076923
1,petrol,std,two,hatchback,fwd,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845.0,mazda,626,Low,105.29761904761905,0.03522012578616352,0.6885245901639344,29.0,305.0
0,petrol,std,four,sedan,fwd,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495.0,mazda,glc custom l,Low,101.13095238095238,0.034854771784232366,0.6885245901639344,29.0,292.9310344827586
1,petrol,std,two,hatchback,fwd,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595.0,mazda,glc custom,Low,126.13095238095238,0.03522012578616352,0.6885245901639344,29.0,365.3448275862069
0,petrol,std,four,sedan,fwd,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245.0,mazda,rx-4,Low,121.96428571428571,0.034854771784232366,0.6885245901639344,29.0,353.2758620689655
0,diesel,std,four,sedan,fwd,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795.0,mazda,glc deluxe,High,168.671875,0.026197298403602128,0.5245901639344263,39.0,276.79487179487177
0,petrol,std,four,hatchback,fwd,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245.0,mazda,626,Low,133.86904761904762,0.03463917525773196,0.6885245901639344,29.0,387.7586206896552
0,petrol,std,four,sedan,rwd,104.9,175.0,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000,19,27,18280.0,mazda,glc,Low,152.33333333333334,0.0449438202247191,0.8571428571428571,23.0,794.7826086956521
0,diesel,std,four,sedan,rwd,104.9,175.0,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200,31,39,18344.0,mazda,rx-7 gs,High,254.77777777777777,0.02666666666666667,0.5373134328358209,35.0,524.1142857142858
-1,diesel,turbo,four,sedan,rwd,110.0,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552.0,buick,electra 225 custom,High,207.739837398374,0.03499288762446657,0.6721311475409836,23.5,1087.3191489361702
-1,diesel,turbo,four,wagon,rwd,110.0,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248.0,buick,century luxus (sw),High,229.65853658536585,0.0328,0.6721311475409836,23.5,1202.0425531914893
0,diesel,turbo,two,convertible,rwd,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176.0,buick,century,High,229.0731707317073,0.0351931330472103,0.6721311475409836,23.5,1198.9787234042553
-1,diesel,turbo,four,sedan,rwd,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600.0,buick,skyhawk,High,256.9105691056911,0.03262599469496021,0.6721311475409836,23.5,1344.6808510638298
-1,petrol,std,four,sedan,rwd,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184.0,buick,opel isuzu deluxe,Low,220.54193548387096,0.04144385026737968,0.6623931623931624,17.0,2010.8235294117646
3,petrol,std,two,convertible,rwd,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056.0,buick,skylark,Low,226.16774193548386,0.04206241519674356,0.6623931623931624,17.0,2062.1176470588234
0,petrol,std,four,sedan,rwd,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500,14,16,40960.0,buick,century special,Low,222.6086956521739,0.04717948717948718,0.5974025974025974,15.0,2730.6666666666665
1,petrol,std,two,convertible,rwd,112.0,199.2,72.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500,14,16,45400.0,buick,regal sport coupe (turbo),Low,246.7391304347826,0.04952893674293405,0.6052631578947368,15.0,3026.6666666666665
1,petrol,turbo,two,hatchback,rwd,102.7,178.4,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000,19,24,16503.0,mercury,cougar,Low,94.30285714285715,0.06013745704467354,1.25,21.5,767.5813953488372
2,petrol,std,two,hatchback,fwd,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389.0,mitsubishi,mirage,Standard,79.25,0.035453597497393116,0.7391304347826086,39.0,138.17948717948718
2,petrol,std,two,hatchback,fwd,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189.0,mitsubishi,lancer,Standard,91.01470588235294,0.03497942386831276,0.7391304347826086,34.5,179.3913043478261
2,petrol,std,two,hatchback,fwd,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669.0,mitsubishi,outlander,Standard,98.07352941176471,0.033932135728542916,0.7391304347826086,34.5,193.30434782608697
1,petrol,turbo,two,hatchback,fwd,93.0,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689.0,mitsubishi,g4,Low,75.38235294117646,0.04755244755244755,1.0408163265306123,27.0,284.77777777777777
3,petrol,turbo,two,hatchback,fwd,96.3,173.0,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959.0,mitsubishi,mirage g4,Low,85.85344827586206,0.048945147679324896,1.0545454545454545,26.5,375.811320754717
3,petrol,std,two,hatchback,fwd,96.3,173.0,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499.0,mitsubishi,g4,Low,96.57954545454545,0.037800687285223365,0.7213114754098361,28.5,298.2105263157895
3,petrol,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000,19,24,12629.0,mitsubishi,outlander,,87.09655172413792,0.05118249205788916,0.9294871794871795,21.5,587.3953488372093
3,petrol,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,24,14869.0,mitsubishi,g4,,102.54482758620689,0.04964053406367682,0.9294871794871795,21.5,691.5813953488372
3,petrol,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,24,14489.0,mitsubishi,mirage g4,,99.92413793103448,0.04955570745044429,0.9294871794871795,21.5,673.9069767441861
1,petrol,std,four,sedan,fwd,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989.0,mitsubishi,montero,Low,79.42045454545455,0.037209302325581395,0.7213114754098361,28.5,245.2280701754386
1,petrol,std,four,sedan,fwd,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189.0,mitsubishi,pajero,Low,93.05681818181819,0.03659043659043659,0.7213114754098361,28.5,287.3333333333333
1,petrol,turbo,four,sedan,fwd,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,mitsubishi,outlander,Low,79.99137931034483,0.04827299209321681,1.0545454545454545,26.5,350.1509433962264
-1,petrol,std,four,sedan,fwd,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,mitsubishi,mirage g4,Low,79.99137931034483,0.04827299209321681,1.0545454545454545,26.5,350.1509433962264
1,petrol,std,two,sedan,fwd,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499.0,nissan,versa,Standard,79.69565217391305,0.036527263102170464,0.711340206185567,34.0,161.73529411764707
1,diesel,std,two,sedan,fwd,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099.0,nissan,gt-r,High,129.07272727272726,0.027268220128904314,0.5339805825242718,47.5,149.45263157894738
1,petrol,std,two,sedan,fwd,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649.0,nissan,rogue,Standard,96.3623188405797,0.03597497393117831,0.711340206185567,34.0,195.55882352941177
1,petrol,std,four,sedan,fwd,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849.0,nissan,latio,Standard,99.26086956521739,0.03560371517027864,0.711340206185567,34.0,201.44117647058823
1,petrol,std,four,wagon,fwd,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349.0,nissan,titan,Standard,106.5072463768116,0.03409090909090909,0.711340206185567,34.0,216.14705882352942
1,petrol,std,two,sedan,fwd,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299.0,nissan,leaf,Standard,105.78260869565217,0.035366478728856995,0.711340206185567,34.0,214.6764705882353
1,petrol,std,two,hatchback,fwd,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799.0,nissan,juke,Standard,113.02898550724638,0.034023668639053255,0.711340206185567,34.0,229.38235294117646
1,petrol,std,four,sedan,fwd,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499.0,nissan,latio,Standard,108.68115942028986,0.0350076103500761,0.711340206185567,34.0,220.55882352941177
1,petrol,std,four,wagon,fwd,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999.0,nissan,note,Standard,115.92753623188406,0.033873343151693665,0.711340206185567,34.0,235.26470588235293
2,petrol,std,two,convertible,fwd,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249.0,nissan,clipper,Standard,119.55072463768116,0.03436254980079681,0.711340206185567,34.0,242.61764705882354
0,petrol,std,four,hatchback,fwd,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949.0,nissan,rogue,Low,92.25773195876289,0.04173838209982788,0.8083333333333333,30.5,293.40983606557376
0,petrol,std,four,sedan,fwd,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549.0,nissan,nv200,Low,98.44329896907216,0.0421372719374457,0.8083333333333333,30.5,313.08196721311475
0,petrol,std,four,sedan,fwd,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499.0,nissan,dayz,Low,88.8092105263158,0.04911147011308562,0.8397790055248618,19.5,692.2564102564103
0,petrol,std,four,wagon,fwd,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399.0,nissan,fuga,Low,94.73026315789474,0.04611650485436893,0.8397790055248618,19.5,738.4102564102565
0,petrol,std,four,sedan,fwd,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499.0,nissan,otti,Low,88.8092105263158,0.04967320261437908,0.8397790055248618,22.0,613.5909090909091
3,petrol,std,two,hatchback,rwd,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199.0,nissan,teana,Low,107.49375,0.052100293064148484,0.8839779005524862,22.0,781.7727272727273
3,petrol,turbo,two,hatchback,rwd,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699.0,nissan,kicks,Low,98.495,0.06371455877668047,1.1049723756906078,20.0,984.95
1,petrol,std,two,hatchback,rwd,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399.0,nissan,clipper,Low,114.99375,0.05097164702134438,0.8839779005524862,22.0,836.3181818181819
0,petrol,std,four,sedan,rwd,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900.0,peugeot,504,Low,122.68041237113403,0.032119205298013244,0.8083333333333333,21.5,553.4883720930233
